Predictor,Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
koizumi,int,int_27_trace,219.7056255340576,Pass,720.8004901409149,40000052,6331171,6.318,1891315,31279,0.2987,0.0049,1.6538%,0.782,1084884,34.6841,27.1221,20000052,2934960,6.8144,940632,13151,0.3205,0.0045,1.3981%,0.6575,478002,36.3472,23.9
koizumi,int,int_28_trace,185.9219560623169,Pass,632.1436750888824,40000052,8205452,4.8748,4006233,129153,0.4882,0.0157,3.2238%,3.2288,3402428,26.3442,85.0606,20000052,3967076,5.0415,1994428,59320,0.5027,0.015,2.9743%,2.966,1596695,26.9166,79.8345
koizumi,int,int_29_trace,181.88746547698972,Pass,697.1277062892914,40000052,15229346,2.6265,4048870,456390,0.2659,0.03,11.2720%,11.4097,11343056,24.8539,283.576,20000052,7323366,2.731,2031315,219323,0.2774,0.0299,10.7971%,10.9661,5410980,24.6713,270.5483
koizumi,int,int_2_trace,94.08823490142822,Pass,559.1637895107269,30000052,17861066,1.6796,5366311,276963,0.3004,0.0155,5.1611%,9.2321,13828364,49.9286,460.9447,15000052,8301872,1.8068,2681980,135411,0.3231,0.0163,5.0489%,9.0274,6319035,46.6656,421.2675
koizumi,int,int_30_trace,182.9177484512329,Pass,692.371951341629,40000052,15466612,2.5862,4219863,470276,0.2728,0.0304,11.1443%,11.7569,11537528,24.5335,288.4378,20000052,7449962,2.6846,2099953,224784,0.2819,0.0302,10.7042%,11.2392,5512487,24.5235,275.6236
koizumi,int,int_31_trace,118.0513105392456,Pass,677.1866719722748,40000052,4532102,8.8259,4773947,24103,1.0534,0.0053,0.5049%,0.6026,473709,19.6535,11.8427,20000052,2156327,9.2751,2359187,8252,1.0941,0.0038,0.3498%,0.4126,164640,19.9515,8.232
koizumi,int,int_32_trace,317.2076416015625,Pass,1263.6364064216614,110000052,84969082,1.2946,12636052,696448,0.1487,0.0082,5.5116%,6.3313,72757361,104.4692,661.4302,55000052,37342935,1.4728,6322521,342921,0.1693,0.0092,5.4238%,6.2349,31330787,91.3644,569.6501
koizumi,int,int_33_trace,310.41816425323486,Pass,1244.2088079452517,110000052,52934793,2.078,16062450,798212,0.3034,0.0151,4.9694%,7.2565,41200291,51.6157,374.5479,55000052,25597183,2.1487,7710997,408266,0.3012,0.0159,5.2946%,7.423,19866069,48.6596,361.2009
koizumi,int,int_34_trace,112.3776216506958,Pass,628.7872211933136,40000052,10962814,3.6487,6380286,110743,0.582,0.0101,1.7357%,2.7686,5298921,47.8488,132.4729,20000052,4828182,4.1424,3101677,57364,0.6424,0.0119,1.8495%,2.8682,2421387,42.2109,121.069
koizumi,int,int_35_trace,119.88736820220949,Pass,650.427366733551,40000048,11225068,3.5635,5671843,82060,0.5053,0.0073,1.4468%,2.0515,4927357,60.0458,123.1838,20000048,5396098,3.7064,2842811,37993,0.5268,0.007,1.3365%,1.8996,2265574,59.6314,113.2784
